2,3
4,2
2,5
2,6
7,2
8,5
2,9
10,4
11,5
3,12
13,5
3,14
15,3
11,16
17,9
19,7
21,4
10,18
23,21
20,6
15,25
22,3
24,27
24,5
21,29
8,26
2,31
5,28
27,33
2,30
36,13
32,30
32,35
40,2
37,21
34,11
39,38
9,44
12,41
38,2
30,43
36,48
5,45
2,42
2,47
53,19
49,33
2,46
15,57
50,49
51,11
32,52
21,61
9,54
2,55
56,14
65,36
58,26
21,59
2,60
70,2
15,62
57,63
30,64
32,67
32,68
32,69
78,2
18,71
9,72
31,73
22,66
7,75
76,73
67,77
61,87
76,79
33,80
71,81
74,3
26,85
82,9
95,78
39,84
5,89
40,86
14,83
88,54
79,93
7,90
68,104
60,92
49,97
12,94
91,2
58,96
99,83
79,112
101,27
15,98
88,103
40,100
2,105
15,102
91,107
121,61
108,109
5,106
48,111
70,108
35,113
34,110
129,6
26,114
89,115
2,116
117,40
118,3
119,2
68,120
139,57
122,70
2,123
28,124
10,125
63,126
127,86
128,124
65,133
130,64
135,6
20,132
76,137
72,134
71,154
5,136
128,141
138,45
79,143
140,35
109,145
142,115
2,131
28,144
147,70
56,148
149,3
150,57
147,151
152,59
138,153
13,173
155,19
50,156
157,70
158,98
159,106
160,112
15,161
6,146
169,82
42,162
65,163
15,164
13,188
166,85
151,167
135,168
52,177
170,169
171,132
172,148
8,165
130,174
50,175
79,176
82,179
72,184
47,181
30,178
65,183
154,207
132,185
160,182
187,141
30,192
189,133
84,186
140,191
4,180
172,193
147,190
197,141
33,194
222,135
52,196
201,15
198,46
36,195
173,200
205,12
193,202
68,199
58,204
209,94
2,206
187,203
208,188
37,211
92,212
213,180
140,241
215,68
47,216
104,217
210,82
158,219
147,220
221,59
127,214
198,223
224,124
200,225
10,218
256,191
135,226
227,40
115,228
229,35
12,230
7,231
2,232
233,98
121,234
235,36
236,13
140,237
166,238
239,135
26,240
243,188
277,147
245,107
242,107
234,247
244,105
249,226
88,246
107,251
198,248
10,253
3,250
255,174
252,97
58,257
254,249
208,264
259,5
129,258
47,261
268,161
98,263
262,40
36,265
9,272
65,267
160,266
21,269
112,307
271,15
105,270
273,50
138,274
281,61
276,242
275,82
5,278
124,285
234,280
45,279
282,277
128,289
2,284
283,270
45,286
48,260
191,288
287,188
280,292
291,49
163,294
231,293
296,245
107,295
298,27
5,297
21,300
70,299
292,302
301,273
275,304
234,303
345,299
305,2
273,306
42,309
308,189
311,167
210,310
313,63
293,312
270,315
163,314
317,303
316,106
319,258
247,318
59,321
147,320
57,290
336,187
270,323
318,322
273,325
324,195
141,327
217,326
161,329
285,375
331,206
330,114
99,333
102,332
202,335
40,334
278,337
303,338
45,353
112,340
339,91
342,171
341,68
14,344
177,343
153,346
328,153
202,348
33,347
71,350
349,108
13,352
231,351
304,356
138,355
366,52
140,357
30,360
226,359
2,354
319,361
364,185
84,363
125,412
54,365
71,368
367,258
319,362
36,369
370,82
323,373
372,277
354,383
129,374
377,15
270,376
85,371
36,378
98,381
15,380
88,358
156,382
385,323
273,384
163,379
259,386
393,65
29,388
387,5
292,390
442,54
392,149
205,391
394,70
94,401
85,396
395,40
398,64
280,389
79,400
